H-01	8	7822206	7822214
H-02	2	147926117	147926124
H-03	8	7489345	7489353
H-04	17	58357800	58357806
H-05	3	51380173	51380179
H-06	7	75193020	75193032
H-07	11	120479928	120479935
H-08	16	14889235	14889243
H-09	1	151224227	151224235
H-10	1	200624914	200624921
BAT-25	4	54732025	54732070
BAT-26	2	47414421	47414447
NR-21	14	23183138	23183158
NR-24	2	95183614	95183636
Mono-27	2	39345922	39345948
MSI-01	1	201785283	201785299
MSI-03	2	61835959	61835975
MSI-04	2	107863167	107863184
MSI-06	5	172994758	172994772
MSI-07	6	142370814	142370830
MSI-08	7	1747884	1747900
MSI-09	7	75193020	75193032
MSI-11	11	106824789	106824800
MSI-12	15	45605574	45605587
MSI-13	16	18871338	18871352
MSI-14	17	19411605	19411622
HSPH1-T17	13	31148484	31148500
